Commentary,Players,Teams,Sentiment,Confidence,Play Type
"short of a length outside off, punched to deep point off the back foot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.986,run
"outside edge between second and third slip. A loose drive from Rahane. Angled bat, half stride and looking to go leg side at an off stump ball. Because third slip is close in, this squeezes through","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.991,four
"short of a length outside off, left alone","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.997,no run
"full on off stump, punched back down the pitch","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.983,no run
"short and wide outside off, cut to deep point","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.727,run
"short of a length outside off, comes on slowly as he looks to push through the covers. It's into square leg off the inside half","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.99,run
"in the air but short of extra cover. Length ball curves away and he looks to drive on the up. We've said it earlier, this is slow ish pitch. Both batsmen have been deceived by it this over","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.996,no run
"length outside off, more controlled push to extra cove this time","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.946,no run
"length ball in the corridor, shaping away, left alone","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.997,no run
"nudges it past third slip and the luck continues to elude Anderson. This time he sprints across from deep backward point, puts in a slide to his left and seems to have done it all. But his attempted flick back meets his fingers and the ball rolls into him as he slides into the boundary padding. Kohli was in control of that length ball outside off","['Anderson', 'Kohl', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.991,four
"short of a length outside off, bunted to deep point","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.852,run
"length on off stump, tapped to extra cover off the front foot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.987,no run
"beaten. Angles in, gets him to play outside off, slides it past the outside edge","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.994,no run
"length and in at off stump, defended off the front foot","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.59,no run
"overpitched just outside off, driven firmly to extra cover","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.985,no run
"length ball just outside off, some late wobble. Left alone","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,1.0,no run
"beaten. Sensational legcutter, rising sharply as Kohli looks to poke at it","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.576,no run
"length outside off, blocked on the front foot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.989,no run
"short of a length outside off, nudged into the covers off the back foot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.98,no run
"hammered through cover. Aerial again but well in front of square. Short and wide outside off, no attempt to keep the cut down","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.986,four
"short of a length outside off, nudged to point off the back foot","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.961,no run
"full ball just outside off, toe ended drive to extra cover","['full ball', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.673,no run
"short of a length outside off, left alone","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.997,no run
"back of a length and on off, Kohli shuffles across a touch and clips to midwicket","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.575,no run
"full and wobbles away outside off, Kohli presses forward and shoulders arms","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.96,no run
good length and angling into a push towards mid off,"['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.994,no run
"full and angling into off, Kohli shuffles across again and whips it with the wrists through midwicket. A tumbling save in the deep keeps it to two","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.987,run
"pitched up and angling in on of, Kohli presses forward and drives to mid off","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.997,no run
"good length and slanting in at off stump, draws Kohli forward, draws the inside edge, the ball rolls away to the leg side","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.999,no run
"back of a length and angling in, Rahane flicks early and watches a leading edge land in front of cover","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.995,no run
"short and ducks back in just outside off, cramps the batsman for room. Rahane hops and jabs to the cordon","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.786,no run
"wide of the crease, full and nipping in on off, defended","['Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.985,no run
"short on leg stump, Rahane swivels on the back foot and middles a pull to fine leg","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.948,run
Kohli gets inside the line of this length ball on middle and clips it away to deep square leg,"['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.948,run
"good length and holds its line outside off, Rahane pulls his bat out of the way","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,1.0,no run
"back of a length and around off, Kohli gets forward and taps to cover","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.995,no run
"good length and outside off, punchily played up to the covers","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,1.0,no run
"banged in short on middle, it's Kohli's turn to swivel and pull it away. He places it fine of long leg for four","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.905,four
"fuller and outside off, swings away further, Kohli lets it go","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.999,no run
Kohli twirls his wrists and flicks a length ball to deep square after getting inside the line,"['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.994,run
"on a length on off, blocked off the front foot","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.988,no run
"near yorker on off, shovelled away to the right of mid on for three. Positive running from Kohli and Rahane","['Rahane', 'Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.992,run
"short on leg or outside leg, Rahane sizes it up and swats it away to the fine leg boundary. Is Woakes tiring?","['Woakes', 'Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.986,four
"good length and angling into middle, Rahane drops it to the leg side for one","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.997,run
"pitched up on off or just a shade outside off, Kohli leans into it and drives it languidly straight of mid off. Right out of the coaching manual","['Kohli', 'Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.992,four
"fuller and outside off, slices a drive wide of mid off. That's the 150 stand","['Virat Kohli', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.752,run
"back of a length and outside off, Rahane steps forward and utterly batters it away through the cover point region. Bam!","['Rahane', 'Ajinkya Rahane', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.963,four
"short and outside off, gets on top of it and punches with a high elbow to mid off","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.926,no run
"short and angling into the hips, tucked to deep square leg","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.994,run
"on a length and on off, forward and driven to the covers","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",POSITIVE,0.727,no run
"back of a length and outside off, stabbed to the covers, where Stokes gets into a side on position and lets the ball burst through his hands","['Stuart Broad', 'Stokes', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.691,run
"short on middle, nurdled away into the vacant spaces at midwicket","['Stuart Broad', 'Ajinkya Rahane']","['India', 'England total runs']",NEGATIVE,0.996,run
"Cook sticks his left hand out and plucks a one hander at first slip. Great reflexes. England, finally, find a way past this pair. This was pitched up and seams away a wee bit outside off, Rahane's front foot is nowhere close to the pitch. He reaches out for the ball with his hands, drives loosely, and nicks it off. He kept going after such balls in the previous over and got away. This time he falls","['Stuart Broad', 'Rahane', 'Ajinkya Rahane', 'Cook']","['India', 'England total runs']",NEGATIVE,0.976,out
"back of a length and wide outside off, Kohli shows more vigilance outside off and leaves","['James Anderson', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.836,no run
"short and wide outside off, chopped away to point","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.889,no run
Kohli gets on top of a short ball outside off sweetly punches through the covers,"['James Anderson', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",POSITIVE,0.986,four
"pitched up and outside off, opens the face and drives to sweeper","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.953,run
"full and straight, whipped away to deep square leg","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.982,run
"back of a length and wide outside off, no shot","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.936,no run
"full on off, pushed to the covers","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.964,run
"full on middle, shuffles across and whisks it away to mid on","['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",POSITIVE,0.935,no run
"back of a length on off, opens the face and runs it away to the covers","['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.981,no run
"a bit too full on off, Hardik stretches out and drives it firmly to the right of mid on for four","['Stuart Broad', 'Hardik', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.919,four
Hardik shuffles across and drops a length ball to the leg side,"['Stuart Broad', 'Hardik', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.97,no run
"back of a length and swerves back in, close to off, well judged leave by Pandya","['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.987,no run
"full and outside off, opens the face and guides a single through point","['James Anderson', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.99,run
"full and outside off, ignored","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.997,no run
"full and angling in, seams away, catches the outside edge and rolls to the cordon","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",POSITIVE,0.985,no run
"back of a length and keeps low on off, Pandya adjusts and jams it down","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.988,no run
"back of a length and zipping through the corridor, no shot","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.978,no run
"back of a length and nips away outside off, Pandya drags his bat inside the line and lets it go","['James Anderson', 'Hardik Pandya', 'Pandya']","['India', 'England total runs']",POSITIVE,0.993,no run
"back of a length and straying into the hips, easy peasy, clipped fine on the leg side for four. The man in the deep is square","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.954,four
"full nip backer, Kohli once again gets his front pad outside the line and is beaten on the inside edge","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.982,no run
"full and slanting in, Kohli thrusts his pad outside the line and misses it again","['Stuart Broad', 'Virat Kohli', 'Kohli']","['India', 'England total runs']",NEGATIVE,1.0,no run
"full and nipping down the leg side, beats the bat, beats the diving YJB, and skips away to the fence","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.872,bye
"full and outside off, squeezes a drive to mid off's right","['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",POSITIVE,0.982,no run
whipped off the pads to deep square for another couple of runs,"['Stuart Broad', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.971,run
"full on middle stump, flicked to mid on","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.856,no run
"length ball wide outside off, left alone","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.923,no run
late swing away from a length on off stump. jabs with hard hands and gets a thick outside edge to point,"['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",POSITIVE,0.993,no run
"length ball wide outside off, hangs the bat inside the line and is beaten","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.998,no run
length ball hooping into the pads. Leans into the off side and pokes to midwicket,"['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.697,no run
mistimed but he's got enough to find the extra cover boundary. Length ball outside off and he doesn't get the pitch so ends up slicing it on the up. Rolls wide of mid off and beats him,"['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",POSITIVE,0.936,four
"short of a length on off stump, defended down the pitch off the back foot","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.697,no run
"guides it past the slip cordon. Short of a length just outside off, allows it to come on and opens the face late. Plays with soft hands","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.858,run
hooks to Rashid's left at deep square. Bouncer is picked easily by Kohli who swivels and gets into this,"['Kohli', 'Ben Stokes', 'Virat Kohli', 'Rashid']","['India', 'England total runs']",POSITIVE,0.999,run
"length ball on middle stump, punched back down the pitch. Stokes dives and parries it to mid on as Pandya lunges back into the crease","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.68,no run
"length outside off, driven on the up to extra cover","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.968,no run
"length ball outside off, left alone","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.992,no run
length on middle stump. Slides on with the angle and catches the inside half as Pandya looks to drive for a legbreak through cover,"['Hardik Pandya', 'Adil Rashid', 'Pandya']","['India', 'England total runs']",POSITIVE,0.976,no run
"review for caught behind. Stokes has had to convince Root, because Pandya has left this ball outside off. It was an innocuous length ball outside off. There was a sound. There was no appeal from anyone other than Stokes. Ball has brushed the pad. And the lbw is out of question, he's struck outside off. England are out of reviews.","['Hardik Pandya', 'Ball', 'Adil Rashid', 'Pandya']","['India', 'England total runs']",NEGATIVE,0.999,no run
slapped to the the midwicket boundary. That's dropped short on middle and Pandya has middled the heck out of this,"['Hardik Pandya', 'Adil Rashid', 'Pandya']","['India', 'England total runs']",NEGATIVE,0.995,four
full and pushed through fast outside off,"['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.981,no run
"tossed up on middle stump, flicked to midwicket","['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.96,no run
"tossed up on off stump, driven to short extra cover","['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.997,no run
length and just outside off. Defended on the front foot,"['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.954,no run
"short ball down leg side, can't get bat on the attempted leg glance","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.955,no run
short of a length and in at off stump. Dead bats it into the pitch off the back foot,"['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.804,no run
"length ball pushed down leg side, can't get bat on it again","['Ben Stokes', 'Virat Kohli']","['India', 'England total runs']",NEGATIVE,0.945,no run
"inside edge trickles past the leg stump and to deep square's right. Kohli driving loosely, well away from the body outside off. He wants a second and Pandya practically scolds his captain as he stands his ground and signals him to get back","[""deep square's"", 'Ben Stokes', 'Virat Kohli', 'Pandya']","['India', 'England total runs']",NEGATIVE,0.985,run
"length outside off, defended on the front foot","['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.837,no run
"short and very wide outside off, thumped to sweeper's right off the back foot","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.724,run
"length ball on off stump, defended solidly to extra cover","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.996,no run
"short and wide outside off, under edges to point with the cut","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.888,no run
"length on leg stump, gets forward and pushes to midwicket","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.975,no run
"length ball skidding straight on at middle stump, defended off the inside half on the front foot","['Virat Kohli', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.834,no run
"Adil Rashid has got one to turn after sliding many on straight. What an anti climax! He doesn't even know how to celebrate, but this is a good ball. It's tossed up, it's loopy, it's got revs. He hasn't bowled too many of these today. This one lands outside off. Kohli looks to crash it through the line to sweeper cover's right. But he isn't to the pitch and with the turn away, he isn't in control. Stokes takes easily to his left at slip. India's captain is gone after another superb knock under tough circumstances","['li', 'Virat Kohli', 'Adil Rashid', 'Kohli']","['India', 'England total runs']",NEGATIVE,0.891,out
jabs and misses. Stokes curves one in outside off at a length. Hangs his bat out anxiously,"['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.982,no run
short of a length and down leg side. Can't get bat on the whip,"['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.98,no run
"length ball outside off, left alone","['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.992,no run
"short and wide outside off, left alone","['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.987,no run
"length ball wide outside off, left alone","['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.923,no run
"length ball just outside off, blocked on the front foot","['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.974,no run
"length on off, pushed to cover","['Rishabh Pant', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.992,no run
"off the mark with a six! Down the track straight away. It's a googly, he's foxed slightly as he looks to go straight. The bat turns in his hand but there's no half measures in his swing. Clears the straight boundary comfortably","['Rishabh Pant', 'Adil Rashid']","['India', 'England total runs']",POSITIVE,0.982,six
"length on off, blocked on the front foot","['Rishabh Pant', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.993,no run
"googly, length and turning away from off stump. Pushed into the off side off the front foot","['Rishabh Pant', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.996,no run
"full toss outside off, whipped to long on's left","['Rishabh Pant', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.968,run
"short of a length on the pads, whipped to deep square","['Rishabh Pant', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.985,run
inswinging yorker at leg stump. Plants the leg across and jams it into the leg side,"['Rishabh Pant', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.872,no run
"bouncer down leg side, lets it go","['Rishabh Pant', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.998,no run
lenght ball down leg side,"['Rishabh Pant', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.91,no run
"length and angled in at leg stump, nudged through midwicket off the front foot","['Rishabh Pant', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.59,run
short ball. Very short ball. Easily ducked,"['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.983,no run
"short of a length into the hips, nudged through square off the back foot","['Ben Stokes', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.844,run
"length ball outside off, left alone","['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.992,no run
"short of a length on leg stump, pushed to midwicket off the back foot","['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.98,no run
"tossed up on off stump, driven to extra cover with the turn","['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.98,no run
"full on off stump, driven to mid off","['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.988,no run
"short and wide outside off, chopped to sweeper cover","['Hardik Pandya', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.951,run
"short and wide outside off, cut to deep point","['Rishabh Pant', 'Adil Rashid']","['India', 'England total runs']",NEGATIVE,0.727,run
"inside edge onto pad. Length ball wide outside off, looks to drive away from the body","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.982,no run
"short of a length on middle stump, pushed to midwicket from the crease","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.987,no run
"short of a length on leg stump, clipped to fine leg's left","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.923,run
"length ball across off stump, left alone","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.98,no run
"short and wide outside off, left alone","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.987,no run
"length ball wide outside off, left alone","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.923,no run
short of a length wide outside off. Left alone,"['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.999,no run
"length ball jumping away outside off, left alone","['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.992,no run
"short ball wide outside off, left alone","['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.965,no run
"dropped! Jennings puts down a simple lob at third slip. Length ball just outside off, swings in, catches him on the glove after rising up. Brushes the shoulder too to take some pace off it. Jennings sort of...falls into it...and puts it down as he tumbles. Beaten by its slowness?","['Stuart Broad', 'Jennings', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.995,no run
"short of a length on off stump, defended off the back foot","['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.899,no run
"short and wide outside off, left alone","['Stuart Broad', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.987,no run
"length ball pushed across the corridor, left alone","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.998,no run
"length ball just outside off, defended solidly on the front foot","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",POSITIVE,0.997,no run
"length outside off, bat turns as he looks to drive through cover on the up. Manages to get it wide of mid off for the single","['Rishabh Pant', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.708,run
"length ball shaping away outside off, left alone","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.988,no run
"zips past the slip cordon. Anderson has Pandya playing with hard hands at an outswinger. Finds the edge too, but it'll be four","['James Anderson', 'Hardik Pandya', 'Pandya', 'Anderson']","['India', 'England total runs']",POSITIVE,0.988,four
"short of a length just outside off, steered towards third slip with an open face","['James Anderson', 'Hardik Pandya']","['India', 'England total runs']",NEGATIVE,0.75,no run
"short and rising outside off, left alone","['Rishabh Pant', 'Stuart Broad']","['India', 'England total runs']",NEGATIVE,0.996,no run
